detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,20.0,,3725.0,3.9,,,2012,,133.0,0.9,0.99,0.016,4400.0
Primary Transit,28.1,1.57,,,,,2002,,36.6,,,,
Primary Transit,37.5,1.57,20.902,0.0627,0.309,88.5,2020,-89.9,36.6,,,,
Primary Transit,4.51,,825.9,1.82,0.03,,2016,,,1.18,1.45,1.9,6557.0
Primary Transit,0.02703,0.1737,0.7365478,0.015439,0.028,90.36,2004,170.0,12.5855,0.9,0.963,10.2,5250.0
Primary Transit,54.2,1.02,1.982796,,0.146,88.4,2017,5.0,186.54,0.276,0.29,,3200.0
Primary Transit,0.028,0.4273,8.463446,0.07,0.07,88.4,2020,-52.0,9.79,0.5,0.75,0.022,3700.0
Primary Transit,0.101,2.79,18.859023,0.119,0.18,89.09,2020,72.0,9.79,0.5,0.75,0.022,3700.0
Primary Transit,,,1.271869,0.0208,,,2025,,43.67,0.7,0.69,11.1,4540.0
Primary Transit,0.07,0.23,41.6855,0.241,0.0,89.55,2016,,180.39,1.67,1.08,3.34,5766.0
Primary Transit,15.0,1.22,,,,,2014,,133.5,,,,
Primary Transit,2.75,0.97,13.2406,0.1055,0.53,88.55,2010,218.9,345.0,0.89,0.79,3.0,5075.0
Primary Transit,2.33,1.43,2.994325,0.04351,0.0,81.41,2010,,560.0,1.27,1.36,2.0,6343.0
Primary Transit,0.917,1.44,2.8280517,0.04016,0.07,85.48,2010,105.0,1150.0,1.078,1.116,6.3,5675.0
Primary Transit,1.308,0.885,4.0350906,0.051,0.0,88.02,2010,,1310.0,1.09,1.01,1.64,5945.0
Primary Transit,7.6,1.09,1.51214,0.027,0.0,79.6,2010,,1340.0,1.13,1.21,4.2,6035.0
Primary Transit,63.4,1.12,3.06036,0.045,0.0,86.7,2010,,1270.0,1.32,1.46,1.9,6350.0
Primary Transit,0.535,1.17,5.35227,0.0618,0.33,85.01,2010,168.41,840.0,1.098,1.19,6.73,5650.0
Primary Transit,2.43,1.02,3.768125,0.0461,0.0,88.34,2010,,920.0,1.04,1.59,10.7,5740.0
Primary Transit,3.47,1.31,1.90009057,0.0295,0.08,86.5,2011,,870.0,0.95,1.0,,5440.0
Primary Transit,1.11,1.29,3.8971372,0.0518,0.047,87.61,2011,86.0,800.0,1.21,1.65,5.0,6090.0
Primary Transit,1.03,1.49,1.50896848,0.0254,0.0,83.96,2007,,460.0,0.95,1.11,,6298.0
Primary Transit,4.24,0.84,9.2431839,0.0902,0.562,88.21,2011,56.3,1230.0,1.14,0.92,0.1,5880.0
Primary Transit,2.26,1.3,2.72474,0.0417,0.0,86.8,2011,,1400.0,1.29,1.95,4.1,6200.0
Primary Transit,0.06,0.4354,9.75598,0.092,0.077,89.749,2011,210.0,592.0,1.099,1.136,3.3,5939.0
Primary Transit,2.8,1.08,3.6314,0.0477,0.16,85.7,2011,51.8,600.0,1.14,1.61,7.2,5900.0
Primary Transit,0.018,0.33,5.1134,0.056,0.0,86.5,2011,,600.0,0.91,0.86,11.0,4950.0
Primary Transit,0.088,0.44,11.759,0.098,0.0,89.0,2011,,600.0,0.91,0.86,11.0,4950.0
Primary Transit,0.27,1.08,4.86069,0.0578,,84.5,2012,,1000.0,1.09,1.19,5.2,6040.0
Primary Transit,0.52,1.26,4.20474,0.0526,0.0,86.8,2012,,1670.0,1.09,1.79,8.6,5590.0
Primary Transit,10.39,1.007,3.57532,0.0476,0.065,86.7,2012,,,1.05,1.08,4.21,5900.0
Primary Transit,0.484,0.955,5.20851,0.059,0.047,,2012,126.0,560.0,1.01,1.78,12.0,5150.0
Primary Transit,0.85,0.9,2.85057,0.039,0.082,87.3,2012,87.0,765.0,0.976,0.9,4.5,5260.0
Primary Transit,3.31,1.465,1.7429964,0.0281,0.0,87.84,2007,,213.283,0.972,0.938,0.128,5529.0
Primary Transit,2.9,1.009,9.06005,0.0844,0.007,90.0,2017,178.1,960.0,0.98,0.91,3.0,5660.0
Primary Transit,0.84,1.46,4.62941,0.0586,0.02,83.2,2017,303.6,2190.0,1.25,2.15,4.7,5370.0
Primary Transit,0.15,0.57,6.71837,0.071,,89.0,2017,,,1.09,0.79,,5970.0
Primary Transit,59.2,1.1,5.819143,0.0579,0.07,85.5,2015,179.3,,0.86,0.94,4.6,5225.0
Primary Transit,1.1,1.68,3.22748,0.0429,0.0,84.1,2022,,1140.0,1.01,1.65,6.1,6390.0
Primary Transit,0.68,1.41,5.616531,0.066,0.0,85.83,2022,,954.0,1.32,1.52,2.1,6730.0
Primary Transit,21.66,1.19,4.2567994,0.057,0.0,85.9,2008,,768.771,1.36,1.525,2.0,6558.0
Primary Transit,0.72,1.19,9.20166201,0.09,0.0,90.0,2008,,,1.1,1.15,1.0,6190.0
