detection_type,mass,radius,orbital_period,semi_major_axis,discovered,star_distance,star_mass,star_radius,star_teff
Primary Transit,20.0,,3725.0,3.9,2012,133.0,0.9,0.99,4400.0
Primary Transit,28.1,1.57,,,2002,36.6,,,
Primary Transit,37.5,1.57,20.902,0.0627,2020,36.6,,,
Primary Transit,4.51,,825.9,1.82,2016,,1.18,1.45,6557.0
Primary Transit,0.02703,0.1737,0.7365478,0.015439,2004,12.5855,0.9,0.963,5250.0
Primary Transit,54.2,1.02,1.982796,,2017,186.54,0.276,0.29,3200.0
Primary Transit,0.028,0.4273,8.463446,0.07,2020,9.79,0.5,0.75,3700.0
Primary Transit,0.101,2.79,18.859023,0.119,2020,9.79,0.5,0.75,3700.0
Primary Transit,,,1.271869,0.0208,2025,43.67,0.7,0.69,4540.0
Primary Transit,0.07,0.23,41.6855,0.241,2016,180.39,1.67,1.08,5766.0
Primary Transit,15.0,1.22,,,2014,133.5,,,
Primary Transit,2.75,0.97,13.2406,0.1055,2010,345.0,0.89,0.79,5075.0
Primary Transit,2.33,1.43,2.994325,0.04351,2010,560.0,1.27,1.36,6343.0
Primary Transit,0.917,1.44,2.8280517,0.04016,2010,1150.0,1.078,1.116,5675.0
Primary Transit,1.308,0.885,4.0350906,0.051,2010,1310.0,1.09,1.01,5945.0
Primary Transit,7.6,1.09,1.51214,0.027,2010,1340.0,1.13,1.21,6035.0
Primary Transit,63.4,1.12,3.06036,0.045,2010,1270.0,1.32,1.46,6350.0
Primary Transit,0.535,1.17,5.35227,0.0618,2010,840.0,1.098,1.19,5650.0
Primary Transit,2.43,1.02,3.768125,0.0461,2010,920.0,1.04,1.59,5740.0
Primary Transit,3.47,1.31,1.90009057,0.0295,2011,870.0,0.95,1.0,5440.0
Primary Transit,1.11,1.29,3.8971372,0.0518,2011,800.0,1.21,1.65,6090.0
Primary Transit,1.03,1.49,1.50896848,0.0254,2007,460.0,0.95,1.11,6298.0
Primary Transit,4.24,0.84,9.2431839,0.0902,2011,1230.0,1.14,0.92,5880.0
Primary Transit,2.26,1.3,2.72474,0.0417,2011,1400.0,1.29,1.95,6200.0
Primary Transit,0.06,0.4354,9.75598,0.092,2011,592.0,1.099,1.136,5939.0
Primary Transit,2.8,1.08,3.6314,0.0477,2011,600.0,1.14,1.61,5900.0
Primary Transit,0.018,0.33,5.1134,0.056,2011,600.0,0.91,0.86,4950.0
Primary Transit,0.088,0.44,11.759,0.098,2011,600.0,0.91,0.86,4950.0
Primary Transit,0.27,1.08,4.86069,0.0578,2012,1000.0,1.09,1.19,6040.0
Primary Transit,0.52,1.26,4.20474,0.0526,2012,1670.0,1.09,1.79,5590.0
Primary Transit,10.39,1.007,3.57532,0.0476,2012,,1.05,1.08,5900.0
